券商買賣股票成交價量資訊,,,,,,,,,,
股票代碼,2317,,,,,,,,,
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,217,1000,3000,,2,1020合　　庫,217.5,5000,1000
3,1020合　　庫,218,0,4000,,4,1020合　　庫,219,3000,0
5,1020合　　庫,219.5,0,2000,,6,1020合　　庫,220,3000,6000
7,1020合　　庫,220.5,3000,2000,,8,1020合　　庫,221,7000,1000
9,1020合　　庫,221.5,5000,1000,,10,1020合　　庫,222,100,1000
11,1020合　　庫,222.5,7000,1000,,12,1020合　　庫,223,6000,1000
13,1020合　　庫,223.5,1000,5000,,14,1020合　　庫,224,5200,5200
15,1020合　　庫,224.5,7000,4000,,16,1020合　　庫,225,107250,8190
17,1020合　　庫,225.5,150,6600,,18,1020合　　庫,226,400,7000
19,1020合　　庫,226.5,1100,9000,,20,1021合庫台中,217,14000,2000
21,1021合庫台中,218.5,6000,1000,,22,1021合庫台中,219,2000,2400
23,1021合庫台中,219.5,1000,1000,,24,1021合庫台中,220,2000,8000
25,1021合庫台中,220.5,1000,3101,,26,1021合庫台中,221,8000,1199
27,1021合庫台中,221.5,1000,1000,,28,1021合庫台中,222,4000,0
29,1021合庫台中,222.5,8000,6000,,30,1021合庫台中,223,4000,6000
31,1021合庫台中,223.5,8060,13080,,32,1021合庫台中,224,20100,13900
33,1021合庫台中,224.5,2560,23090,,34,1021合庫台中,225,14139,23450
35,1021合庫台中,225.5,3030,8100,,36,1021合庫台中,226,150,4905
37,1021合庫台中,226.5,4000,3006,,38,1022合庫台南,217,0,1000
39,1022合庫台南,217.5,0,2000,,40,1022合庫台南,218.5,4000,2000
41,1022合庫台南,219,0,3000,,42,1022合庫台南,220,2000,4000
43,1022合庫台南,220.5,400,0,,44,1022合庫台南,221,0,4000
45,1022合庫台南,221.5,0,2000,,46,1022合庫台南,222,0,1000
47,1022合庫台南,223,25000,0,,48,1022合庫台南,223.5,25600,2002
49,1022合庫台南,224,27700,8500,,50,1022合庫台南,224.5,2910,752
51,1022合庫台南,225,1050,29463,,52,1022合庫台南,225.5,28000,2188
53,1022合庫台南,226,0,8100,,54,1022合庫台南,226.5,1000,1064
55,1023合庫高雄,217,1000,0,,56,1023合庫高雄,217.5,3000,0
57,1023合庫高雄,218.5,1000,1000,,58,1023合庫高雄,219,0,5000
59,1023合庫高雄,219.5,0,2400,,60,1023合庫高雄,220,0,2250
61,1023合庫高雄,220.5,1000,2000,,62,1023合庫高雄,221,0,2000
63,1023合庫高雄,221.5,1000,0,,64,1023合庫高雄,222,0,3000
65,1023合庫高雄,222.5,1000,0,,66,1023合庫高雄,223,1000,4000
67,1023合庫高雄,223.5,9210,5000,,68,1023合庫高雄,224,2250,16150
69,1023合庫高雄,224.5,3310,5000,,70,1023合庫高雄,225,4045,29350
71,1023合庫高雄,225.5,2000,4000,,72,1023合庫高雄,226,0,10030
73,1023合庫高雄,226.5,0,12000,,74,1024合庫嘉義,217.5,0,1000
75,1024合庫嘉義,218.5,0,5000,,76,1024合庫嘉義,219,0,200
77,1024合庫嘉義,219.5,0,2000,,78,1024合庫嘉義,220,700,1000
79,1024合庫嘉義,221,0,30000,,80,1024合庫嘉義,223,1000,5000
81,1024合庫嘉義,223.5,3000,1500,,82,1024合庫嘉義,224,2000,8050
83,1024合庫嘉義,224.5,100,1000,,84,1024合庫嘉義,225,523,1330
